model,AARIZ / CVM (Acc),AARIZ / VQA (Acc),BRAR / BRAR (Acc),CODE / Cls (Acc),CODE / Report (METEOR),DENPAR / Arch (Acc),DENPAR / Count (Acc),DENPAR / Site (Acc),DENTALCARIES / Cls (Acc),DENTALCARIES / Detect (Acc),DR / DR Cls (F1w),METADENT / Cap (BERT-F1),METADENT / Cls (F1),METADENT / VQA (Acc)
Lingshu-32B,0.468,0.59,0.577,0.818,0.567,0.805,0.34,0.55,0.058,0.923,0.787,0.259,0.096,0.8
MedMO-8B-Next,0.468,0.589,0.416,0.813,0.551,0.425,0.255,0.25,0.058,0.64,0.608,0.241,0.0,0.756
Qwen2.5-VL-7B-Instruct,0.468,0.589,0.537,0.803,0.566,0.995,0.71,0.715,0.058,0.912,0.773,0.259,0.093,0.776
Qwen3.5-4B,0.16,0.229,0.201,0.462,0.444,0.995,0.47,0.55,0.509,0.93,0.557,0.187,0.246,0.781
Qwen3-VL-4B-Instruct,0.468,0.589,0.57,0.798,0.561,1.0,0.765,0.87,0.058,0.932,0.834,0.272,0.286,0.714
gemma-4-E4B-it,0.5,0.569,0.564,0.815,0.55,0.99,0.645,0.87,0.058,0.903,0.78,0.266,0.241,0.744
dentalgemma-1.5-4b-it,0.468,0.589,0.584,0.815,0.56,0.915,0.605,0.52,0.058,0.916,0.75,0.259,0.28,0.736
medgemma-4b-it,0.468,0.589,0.503,0.803,0.556,0.99,0.525,0.615,0.058,0.908,0.799,0.261,0.226,0.745
paligemma2-3b-mix-448,0.467,0.432,0.297,0.75,0.462,1.0,0.795,0.555,0.049,0.919,0.581,0.0,0.003,0.0
SmolVLM2-2.2B-Instruct,0.27,0.594,0.503,0.785,0.525,1.0,0.715,0.74,0.058,0.92,0.735,0.258,0.059,0.648
InternVL3_5-2B-HF,0.468,0.589,0.51,0.813,0.544,1.0,0.75,0.735,0.058,0.932,0.805,0.262,0.207,0.647
gemma-4-E2B-it,0.468,0.587,0.262,0.8,0.494,0.96,0.54,0.62,0.058,0.909,0.743,0.253,0.246,0.7
InternVL3_5-1B-HF,0.468,0.589,0.242,0.8,0.532,0.99,0.705,0.685,0.058,0.906,0.848,,,0.602
